gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_concept_id	interaction_group_score	PMIDs
ADORA3	140	140	GuideToPharmacology	antagonist	135650667	MRS928				
CNR1	Cannabinoid receptor 1	1268	TTD		Pyrrole derivative 5	Pyrrole derivative 5				
FYN	2534	2534	GuideToPharmacology	inhibitor	178103494	IBRUTINIB	IBRUTINIB	chembl:CHEMBL1873475	0.07	
PDE1B	Phosphodiesterase 1B	5153	TTD		US10092575, Example 158	US10092575, Example 158				
TP53	TP53	7157	DTC		O-DEMETHYLATED ADAPALENE	O-DEMETHYLATED ADAPALENE	O-DEMETHYLATED ADAPALENE	chembl:CHEMBL1180	0.03	
PIM1	5292	5292	GuideToPharmacology	inhibitor	249565793	XL413				
BRAF	BRAF	673	JAX-CKB		Gefitinib	Gefitinib	GEFITINIB	chembl:CHEMBL939	0.06	23242808,22448344,27312529
MAPK10	MAPK10	5602	DTC		SB-202190	SB-202190	SB-202190	chembl:CHEMBL278041	0.12	22951114
TNFRSF11A	TNFRSF11A	8792	PharmGKB		propionic acid derivatives	propionic acid derivatives				26398624
CNR1	Cannabinoid receptor 1	1268	TTD		Pyrazole derivative 23	Pyrazole derivative 23				
CYP2C9	CYP2C9	1559	DTC		MRS-1220	MRS-1220	CHEMBL88147	chembl:CHEMBL88147	0.02	
CYP1A2	CYP1A2	1544	DTC		PYRIDOSTIGMINE	PYRIDOSTIGMINE	PYRIDOSTIGMINE	chembl:CHEMBL1115	0.03	22931300
MAPK14	Q16539	1432	TdgClinicalTrial		TALMAPIMOD	TALMAPIMOD	TALMAPIMOD	chembl:CHEMBL514201	2.15	
KRAS	KRAS	3845	CIViC		NIVOLUMAB	NIVOLUMAB	NIVOLUMAB	chembl:CHEMBL2108738	0.06	28525386
IDH1	IDH1	3417	DTC		TCMDC-125298	TCMDC-125298	CHEMBL581152	chembl:CHEMBL581152	0.03	
GABRR2	2570	2570	GuideToPharmacology	antagonist	178100919	CIS-3-ACPBPA				
TUBA1B	TUBA1B	10376	DTC		VORINOSTAT	VORINOSTAT	VORINOSTAT	chembl:CHEMBL98	0.07	20491440
VDR	VDR	7421	DTC		NSC-407228	NSC-407228	CHEMBL74852	chembl:CHEMBL74852	0.05	
LCK	3932	3932	GuideToPharmacology	inhibitor	252827368	PEXIDARTINIB	PEXIDARTINIB	chembl:CHEMBL3813873	0.1	
NFE2L2	NFE2L2	4780	NCI		NEUROPROTECTIVE AGENT	NEUROPROTECTIVE AGENT				17530460
NTRK1	Tropomyosin-related kinase A	4914	TTD		PMID28270021-Compound-WO2013161919Example85-117	PMID28270021-Compound-WO2013161919Example85-117				
CHRM4	Muscarinic acetylcholine receptor M4	1132	TTD		ACECLIDINE	ACECLIDINE	ACECLIDINE	chembl:CHEMBL20835	0.22	
ADRA2C	ADRA2L2	152	ChemblInteractions	agonist	CHEMBL679	EPINEPHRINE	EPINEPHRINE	chembl:CHEMBL679	0.08	
	Glycogen phosphorylase		TTD		PMID26666989-Compound-Figure11topright	PMID26666989-Compound-Figure11topright				
ATXN2	ATXN2	6311	DTC		(R,S)-INDATRALINE	(R,S)-INDATRALINE	(R,S)-INDATRALINE	chembl:CHEMBL341898	0.02	
APEX1	APEX1	328	DTC		CEPHALORIDINE	CEPHALORIDINE	CEPHALORIDINE	chembl:CHEMBL316157	0.36	
SSTR1	6751	6751	GuideToPharmacology	agonist	135652562	[125I]TYR10-CST14				
POLH	POLH	5429	DTC		ANGUSTIBALIN	ANGUSTIBALIN	ANGUSTIBALIN	chembl:CHEMBL486196	0.03	
GRM2	Metabotropic glutamate receptor 2	2912	TTD		Quinoline derivative 3	Quinoline derivative 3				
OPRM1	4988	4988	GuideToPharmacology		385612241	COMPOUND 16 [PMID: 31498617]				
IL27	IL27	246778	NCI		VACCINE	VACCINE				16369012
GFAP	GFAP	2670	NCI		COLCHICINE	COLCHICINE	COLCHICINE	chembl:CHEMBL107	0.16	10211779,15307907
EYA2	EYA2	2139	DTC		(R)-EDELFOSINE	(R)-EDELFOSINE	(R)-EDELFOSINE	chembl:CHEMBL107514	1.06	
KRAS	KRAS	3845	DoCM		PANITUMUMAB	PANITUMUMAB	PANITUMUMAB	chembl:CHEMBL1201827	1.29	26812186,19075190,19255327,22734028,23182985,21228335,17384584,26623049,2278970,19114683,21398618,20921465,18316791,19679400,18794081,21975775,16361624,16618717,19773371,26371285,24558511,3122217,16434492,19018267,20921462,25157968,12460918,20978259,22407852,22392911,23406027
TRPV1	Transient receptor potential cation channel V1	7442	TTD		PMID25666693-Compound-47	PMID25666693-Compound-47				
EGFR	1956	1956	GuideToPharmacology	inhibitor	381118891	COMPOUND 19A [PMID: 30503936]				
NGFR	Low-affinity nerve growth factor receptor	4804	TTD		Fulranumab	Fulranumab	FULRANUMAB	chembl:CHEMBL1743023	10.61	
AKT2	AKT2	208	ChemblInteractions	inhibitor	CHEMBL3545134	LY-2780301	LY-2780301	chembl:CHEMBL3545134	0.55	
KDM4A	KDM4A	9682	DTC		EMODIN	EMODIN	EMODIN	chembl:CHEMBL289277	0.01	
CHRNE	ACHRE	1145	ChemblInteractions	agonist	CHEMBL983	SUCCINYLCHOLINE CHLORIDE	SUCCINYLCHOLINE CHLORIDE	chembl:CHEMBL983	0.91	
PLG	P07355	5340	TEND		ANISTREPLASE	ANISTREPLASE	ANISTREPLASE	chembl:CHEMBL2108250	7.68	
DRD1	DRD1	1812	DTC		MRS-1523	MRS-1523	CHEMBL111545	chembl:CHEMBL111545	0.19	
EHMT2	EHMT2	10919	DTC		SALSOLINOL HYDROBROMIDE	SALSOLINOL HYDROBROMIDE	SALSOLINOL HYDROBROMIDE	chembl:CHEMBL553751	0.04	
TUBA3C	TUBA3C	7278	DTC		CURCUMIN	CURCUMIN	CURCUMIN	chembl:CHEMBL116438	0.09	23830698
GABRA2	P47869	2555	TEND		DIAZEPAM	DIAZEPAM	DIAZEPAM	chembl:CHEMBL12	0.18	
PDE3A	Q14432	5139	TdgClinicalTrial		RPL-554	RPL-554				
HTR7	3363	3363	GuideToPharmacology	antagonist	178103923	VORTIOXETINE	VORTIOXETINE	chembl:CHEMBL2104993	0.44	
EGFR	EGFR	1956	JAX-CKB		Vemurafenib	Vemurafenib	VEMURAFENIB	chembl:CHEMBL1229517	0.02	27312529
ESR1	ESR1	2099	DTC		MONOETHANOLAMINE	MONOETHANOLAMINE	MONOETHANOLAMINE	chembl:CHEMBL104943	0.32	
TMEM167A	TMEM167A	153339	PharmGKB		fluorouracil	fluorouracil	FLUOROURACIL	chembl:CHEMBL185	1.21	28796378
POLB	POLB	5423	DTC		TCMDC-123579	TCMDC-123579	CHEMBL533954	chembl:CHEMBL533954	0.06	
CYP2D6	CYP2D6	1565	DTC		CORYNANTHEINE	CORYNANTHEINE	CORYNANTHEINE	chembl:CHEMBL31410	0.04	
DPP4	P27487	1803	TEND		SAXAGLIPTIN	SAXAGLIPTIN	SAXAGLIPTIN	chembl:CHEMBL385517	12.73	
MAOB	MAOB	4129	NCI		VITAMIN-B12	VITAMIN-B12				8043706
SLCO1A2	6579	6579	GuideToPharmacology	inhibitor	135652711	RIFAMPICIN	RIFAMPIN	chembl:CHEMBL374478	0.87	
NMBR	4829	4829	GuideToPharmacology	agonist	135652568	[125I][TYR4]BOMBESIN				
CCNE1	CCNE1	898	CIViC		DINACICLIB	DINACICLIB	DINACICLIB	chembl:CHEMBL2103840	4.24	27663592
MAPK1	Extracellular signal-regulated kinase 2	5594	TTD		BVD-523	BVD-523	ULIXERTINIB	chembl:CHEMBL3545022	0.4	
GABRA2	P47869	2555	TdgClinicalTrial		METHYLPHENOBARBITAL	METHYLPHENOBARBITAL	MEPHOBARBITAL	chembl:CHEMBL45029	0.32	
HRH2	3274	3274	GuideToPharmacology	agonist	135649957	ARPROMIDINE	ARPROMIDINE	chembl:CHEMBL293802	1.22	
MLNR	Motilin receptor	2862	TTD		Camicinal	Camicinal	CAMICINAL	chembl:CHEMBL489095	23.87	
TPH1	Tryptophan 5-hydroxylase	7166	TTD		LX-1031	LX-1031				
JAK1	Janus kinase 1	3716	TTD		Imidazopyridazine derivative 1	Imidazopyridazine derivative 1				
STAT3	Signal transducer and activator of transcription 3	6774	TTD		Peptidomimetic analog 3	Peptidomimetic analog 3				
KIT	SCFR	3815	ChemblInteractions	inhibitor	CHEMBL1567	SUNITINIB MALATE	SUNITINIB MALATE	chembl:CHEMBL1567	0.1	
GABRQ	55879	55879	GuideToPharmacology	blocker	178100875	PICROTOXIN	PICROTOXIN	chembl:CHEMBL1908342	0.05	
MTOR	2475	2475	GuideToPharmacology	inhibitor	178102515	TEMSIROLIMUS	TEMSIROLIMUS	chembl:CHEMBL1201182	0.42	
CYP3A4	CYP3A4	1576	DTC		NSC-102049	NSC-102049	CHEMBL74675	chembl:CHEMBL74675	0.07	
NR1H3	Oxysterols receptor LXR-alpha	10062	TTD		BDBM50177019	BDBM50177019				
TP53	TP53	7157	JAX-CKB		Docetaxel	Docetaxel	DOCETAXEL	chembl:CHEMBL92	0.01	21399868
	Steroid hormone receptor ERR		TTD		Flurandrenolide	Flurandrenolide	FLURANDRENOLIDE	chembl:CHEMBL1201012		
ACKR1	Duffy antigen chemokine receptor	2532	TTD		AQ-13	AQ-13	AQ-13	chembl:CHEMBL4297695	31.83	
TDP1	TDP1	55775	DTC		BENZYL SALICYLATE	BENZYL SALICYLATE	BENZYL SALICYLATE	chembl:CHEMBL460124	0.52	
PIK3CG	PIK3CG	5294	NCI		LACTOSE	LACTOSE	LACTOSE, ANHYDROUS	chembl:CHEMBL417016	0.18	15653554
BAZ2B	29994	29994	GuideToPharmacology	inhibitor	249565913	GSK2801				
GCGR	Glucagon receptor	2642	TTD		Spiroimidazolone derivative 4	Spiroimidazolone derivative 4				
NOS1	NOS1	4842	NCI		DEXTRAN SULFATE SODIUM	DEXTRAN SULFATE SODIUM				15613746,17160477
HRH1	HRH1	3269	ChemblInteractions	antagonist	CHEMBL1201089	DIPHENHYDRAMINE CITRATE	DIPHENHYDRAMINE CITRATE	chembl:CHEMBL1201089	0.41	
XRCC5	XRCC5	7520	NCI		CAMPTOTHECIN	CAMPTOTHECIN	CAMPTOTHECIN	chembl:CHEMBL65	0.71	16230379
NR3C2	P08235	4306	TdgClinicalTrial		DROSPIRENONE	DROSPIRENONE	DROSPIRENONE	chembl:CHEMBL1509	7.61	
RRM1	RR1	6240	ChemblInteractions	inhibitor	CHEMBL1096882	FLUDARABINE PHOSPHATE	FLUDARABINE PHOSPHATE	chembl:CHEMBL1096882	0.76	
GABRG1	Q8N1C3	2565	TdgClinicalTrial		LORAZEPAM	LORAZEPAM	LORAZEPAM	chembl:CHEMBL580	0.13	
NMUR1	10316	10316	GuideToPharmacology	agonist	310264786	COMPOUND 5D [PMID: 25815150]				
PPARA	PPARA	5465	DTC		2-BROMO-HEXADECANOIC ACID	2-BROMO-HEXADECANOIC ACID	CHEMBL118417	chembl:CHEMBL118417	0.24	
PNP	P00491	4860	TdgClinicalTrial		ULODESINE	ULODESINE	ULODESINE	chembl:CHEMBL269864	25.46	
P2RY11	5032	5032	GuideToPharmacology	agonist	135651464	DATP	CHEMBL335538	chembl:CHEMBL335538	10.61	
KCNH2	3757	3757	GuideToPharmacology	blocker	135649968	ASTEMIZOLE	ASTEMIZOLE	chembl:CHEMBL296419	0.15	
GUCY2C	2984	2984	GuideToPharmacology	agonist	178101551	[125I]STA				
GNB3	GNB3	2784	PharmGKB		sildenafil	sildenafil	SILDENAFIL	chembl:CHEMBL192	0.89	12576843
HCN4	10021	10021	GuideToPharmacology	blocker	178102882	EC18				
	Calcium channel unspecific		TTD		Felodipine	Felodipine	FELODIPINE	chembl:CHEMBL1480		
SF3B2	SF3B2	10992	DTC		SPLICEOSTATIN-A	SPLICEOSTATIN-A	CHEMBL1221944	chembl:CHEMBL1221944	42.43	17643111
FRK	FRK	2444	DTC		GEFITINIB	GEFITINIB	GEFITINIB	chembl:CHEMBL939	0.03	
CYP1B1	CYP1B1	1545	PharmGKB		fluorouracil	fluorouracil	FLUOROURACIL	chembl:CHEMBL185	0.04	24958282
POLB	POLB	5423	DTC		DNDI1416969	DNDI1416969	CHEMBL1453126	chembl:CHEMBL1453126	0.03	
MMP2	4313	4313	GuideToPharmacology	inhibitor	178103082	TANOMASTAT	TANOMASTAT	chembl:CHEMBL261932	2.36	
CXCR1	CMKAR1	3577	ChemblInteractions	modulator	CHEMBL189475	Ladarixin	LADARIXIN	chembl:CHEMBL189475	6.37	
GLRA1	P23415	2741	TEND		ENFLURANE	ENFLURANE	ENFLURANE	chembl:CHEMBL1257	0.59	
EHMT2	EHMT2	10919	DTC		AG-494	AG-494	CHEMBL56731	chembl:CHEMBL56731	0.0	
EHMT2	EHMT2	10919	DTC		PHENELZINE SULFATE	PHENELZINE SULFATE	PHENELZINE SULFATE	chembl:CHEMBL1200895	0.01	
	Ion channel unspecific		TTD		AZD-2927	AZD-2927				
	Fibrin		TTD		Baquting	Baquting				
RUNX1	RUNX1	861	DTC		DEPHOSTATIN	DEPHOSTATIN	DEPHOSTATIN	chembl:CHEMBL269733	0.07	
AHR	AHR	196	DTC		DICHLON	DICHLON	DICHLON	chembl:CHEMBL318782	0.35	
TUBA1B	TUBA1B	10376	ChemblInteractions	inhibitor	CHEMBL3545252	DOCETAXEL HYDRATE	DOCETAXEL	chembl:CHEMBL3545252	0.11	
SLC6A2	P23975	6530	TEND		TRAMADOL	TRAMADOL	TRAMADOL	chembl:CHEMBL1237044	0.51	
CYP3A4	CYP3A4	1576	PharmGKB		ritonavir	ritonavir	RITONAVIR	chembl:CHEMBL163	0.02	9187528
HCRTR2	Orexin receptor type 2	3062	TTD		1,2-diamino cyclopentane-based derivative 5	1,2-diamino cyclopentane-based derivative 5				
TYRO3	TYRO3 tyrosine kinase receptor	7301	TTD		BDBM50444059	BDBM50444059				
VDR	VDR	7421	DTC		PHENYLSTIBONIC ACID	PHENYLSTIBONIC ACID	PHENYLSTIBONIC ACID	chembl:CHEMBL1369257	0.03	
CCR5	1234	1234	GuideToPharmacology	antagonist	178100487	E913				
GLRA3	8001	8001	GuideToPharmacology	blocker	135652708	PICROTOXININ	PICROTOXININ	chembl:CHEMBL47244	2.27	
HSPA5	HSPA5	3309	DTC		CHLORQUINALDOL	CHLORQUINALDOL	CHLORQUINALDOL	chembl:CHEMBL224325	1.06	
TP53	TP53	7157	NCI		PROPYLTHIOURACIL	PROPYLTHIOURACIL	PROPYLTHIOURACIL	chembl:CHEMBL1518	0.02	7790147
NTRK1	Tropomyosin-related kinase A	4914	TTD		Thiazole derivative 4	Thiazole derivative 4				
EHMT2	EHMT2	10919	DTC		DIACEREIN	DIACEREIN	DIACEREIN	chembl:CHEMBL41286	0.01	
ABCC4	ABCC4	10257	NCI		MTX	MTX	METHOTREXATE	chembl:CHEMBL34259	0.12	12036927
ITGAL	ITGAL	3683	NCI		5-FU	5-FU	FLUOROURACIL	chembl:CHEMBL185	0.07	8888499
KCNH2	KCNH2	3757	DTC		MMV396704	MMV396704	CHEMBL2028056	chembl:CHEMBL2028056	0.19	
OPRK1	4986	4986	GuideToPharmacology	agonist	135651740	DYNORPHIN A-(1-8)				
MGMT	MGMT	4255	NCI		GENISTEIN	GENISTEIN	GENISTEIN	chembl:CHEMBL44	0.12	16203797
TNFRSF17	B-cell maturation protein	608	TTD		Autologous Anti-BCMA-CAR-expressing CD4+/CD8+ T-lymphocytes FCARH143	Autologous Anti-BCMA-CAR-expressing CD4+/CD8+ T-lymphocytes FCARH143				
NT5E	NT5E	4907	NCI		ERYTHROPOIETIN	ERYTHROPOIETIN	EPOETIN BETA	chembl:CHEMBL2109092	0.65	16468051
ROCK2	Rho-associated protein kinase 2	9475	TTD		KD025	KD025				
DYRK3	Dual-specificity tyrosine-phosphorylation regulated kinase 3	8444	TTD		HARMINE	HARMINE	HARMINE	chembl:CHEMBL269538	0.39	
CYB5R3	CYB5R3	1727	PharmGKB		primaquine	primaquine	PRIMAQUINE	chembl:CHEMBL506	1.99	25058800
KDR	3791	3791	GuideToPharmacology	inhibitor	223365984	LUCITANIB	LUCITANIB	chembl:CHEMBL2220486	0.23	
	N/A		MyCancerGenomeClinicalTrial	inhibitor	GANETESPIB	GANETESPIB	GANETESPIB	chembl:CHEMBL2103879		
ESR1	Estrogen receptor	2099	TTD		CC-8490	CC-8490				
ESR1	Estrogen receptor	2099	TTD		Gestrinone	Gestrinone	GESTRINONE	chembl:CHEMBL1868702	0.16	
HDAC1	3065	3065	GuideToPharmacology	inhibitor	178103588	VALPROIC ACID				
PDE10A	Phosphodiesterase 10A	10846	TTD		Triazolo-pyridine derivative 3	Triazolo-pyridine derivative 3				
TOP2A	TOP2A	7153	DTC		4'-O-ACETYLPATENTIFLORIN B	4'-O-ACETYLPATENTIFLORIN B	4'-O-ACETYLPATENTIFLORIN B	chembl:CHEMBL454803	1.59	22119124
MAPK1	MAPK1	5594	CIViC		ERLOTINIB	ERLOTINIB	ERLOTINIB	chembl:CHEMBL553	0.02	26181029
TEC	7006	7006	GuideToPharmacology	inhibitor	249565828	COMPOUND 31 [PMID: 24915291]				
PTGER3	Prostaglandin E2 receptor EP3	5733	TTD		16,16-dimethyl-PGE2	16,16-dimethyl-PGE2				
UBA1	UBA1	7317	DTC		HYRTIOERECTINE B	HYRTIOERECTINE B	HYRTIOERECTINE B	chembl:CHEMBL526126	63.65	22695182
PTGS2	P35354	5743	TdgClinicalTrial		NIFLUMIC ACID	NIFLUMIC ACID				
CYP2C9	CYP2C9	1559	DTC		STAVUDINE	STAVUDINE	STAVUDINE	chembl:CHEMBL991	0.02	22931300
VDR	VDR	7421	DTC		3-METHOXYCATECHOL	3-METHOXYCATECHOL	3-METHOXYCATECHOL	chembl:CHEMBL1518159	0.01	
MGLL	Monoglyceride lipase	11343	TTD		PMID29053063-Compound-17	PMID29053063-Compound-17				
PIM1	PIM1	5292	DTC		AZAKENPAULLONE	AZAKENPAULLONE	AZAKENPAULLONE	chembl:CHEMBL336961	0.19	
EHMT2	EHMT2	10919	DTC		SPERMINE	SPERMINE	SPERMINE	chembl:CHEMBL23194	0.01	
MMP2	P08253	4313	TdgClinicalTrial		AE-941	AE-941				
KRAS	KRAS	3845	JAX-CKB		Selumetinib	Selumetinib	SELUMETINIB	chembl:CHEMBL1614701	0.42	26272063,26351322,26438159,26666244,27231576,23200175,22271687,27655129,24935174,26676756,24939055,25870145,27222538,19029981,27556948,26232337,27422710,26725216,27312529,22952903,27480147,26125448,28492898,25322874
FLT3	FLT3	2322	COSMIC		Sunitinib	Sunitinib	SUNITINIB	chembl:CHEMBL535	0.45	
HSD17B10	HSD17B10	3028	DTC		MK-212	MK-212	MK-212	chembl:CHEMBL269521	0.02	
APEX1	APEX1	328	DTC		IOFETAMINE HYDROCHLORIDE	IOFETAMINE HYDROCHLORIDE	IOFETAMINE HYDROCHLORIDE	chembl:CHEMBL1255865	0.18	
GFAP	GFAP	2670	NCI		THC	THC	DRONABINOL	chembl:CHEMBL465	0.64	10965147
GRIN2A	NMDAR2A	2903	ChemblInteractions	antagonist	CHEMBL3707400	Indantadol	INDANTADOL	chembl:CHEMBL3707400	0.2	
EHMT2	EHMT2	10919	DTC		METHYLMALONIC ACID	METHYLMALONIC ACID	METHYLMALONIC ACID	chembl:CHEMBL1232416	0.04	
GABRA2	GABRA2	2555	ChemblInteractions		CHEMBL1257	ENFLURANE	ENFLURANE	chembl:CHEMBL1257	0.02	
VDR	VDR	7421	DTC		DESERPIDINE	DESERPIDINE	DESERPIDINE	chembl:CHEMBL1200515	0.03	
HTR2B	5-HT 2B receptor	3357	TTD		Quinoline derivative 2	Quinoline derivative 2				
AR	DHTR	367	ChemblInteractions	modulator	CHEMBL3545356	VK5211	VK5211	chembl:CHEMBL3545356	0.15	
PSMD13	PSMD13	5719	ChemblInteractions	inhibitor	CHEMBL325041	BORTEZOMIB	BORTEZOMIB	chembl:CHEMBL325041	0.71	
NSD2	WHSC1	7468	DTC		NSC-36398	NSC-36398	CHEMBL483206	chembl:CHEMBL483206	0.66	
ERBB2	ERBB2	2064	NCI		PROTEASE INHIBITORS	PROTEASE INHIBITORS				14520092
PRKCE	Q02156	5581	TdgClinicalTrial		INGENOL MEBUTATE	INGENOL MEBUTATE				
CDK4	CDK4	1019	ChemblInteractions	inhibitor	CHEMBL488436	AZD-5438	AZD-5438	chembl:CHEMBL488436	0.1	
C5AR1	728	728	GuideToPharmacology	agonist	135651643	C5A	RAVIDASVIR	chembl:CHEMBL3121849	15.91	
CDK5	CDK5	1020	DTC		LY-2090314	LY-2090314	LY-2090314	chembl:CHEMBL362558	0.05	
F2R	2149	2149	GuideToPharmacology	antagonist	405560412	SCH-79797				
CCKBR	Gastrin/cholecystokinin type B receptor	887	TTD		YF-476	YF-476	NETAZEPIDE	chembl:CHEMBL324547	9.09	
BRD4	Bromodomain-containing protein 4	23476	TTD		(+)-JQ1	(+)-JQ1				
ZUP1	Zinc finger-containing ubiquitin peptidase 1	221302	TTD		Azepan-4-one derivative 1	Azepan-4-one derivative 1				
ADRB2	ADRB2	154	DTC		SALMETEROL XINAFOATE	SALMETEROL XINAFOATE	SALMETEROL XINAFOATE	chembl:CHEMBL1082607	0.13	
FCGR3A	FCGR3A	2214	NCI		BRM	BRM				1832500
	Uric acid		TTD		Pegadricase	Pegadricase	PEGADRICASE	chembl:CHEMBL2108722		
NRAS	NRAS	4893	CIViC		EVEROLIMUS	EVEROLIMUS	EVEROLIMUS	chembl:CHEMBL1908360	0.14	26821351
ALDH1A1	ALDH1A1	216	DTC		GNF-PF-663	GNF-PF-663	CHEMBL596847	chembl:CHEMBL596847	0.16	
CYP1A2	CYP1A2	1544	DTC		INDIRUBIN-3-MONOXIME	INDIRUBIN-3-MONOXIME	INDIRUBIN-3-MONOXIME	chembl:CHEMBL126077	0.01	
NR3C2	MCR	4306	ChemblInteractions	agonist	CHEMBL1201010	FLUDROCORTISONE ACETATE	FLUDROCORTISONE ACETATE	chembl:CHEMBL1201010	2.77	
ATAD5	ATAD5	79915	DTC		[3H]-PHORBOL 12,13-DIBUTYRATE	[3H]-PHORBOL 12,13-DIBUTYRATE	CHEMBL27768	chembl:CHEMBL27768	0.04	
IL2RA	3559	3559	GuideToPharmacology	antibody	178103462	DACLIZUMAB	DACLIZUMAB	chembl:CHEMBL1201605	6.04	
HSP90AA1	HSP90AA1	3320	DTC		SJ000018309	SJ000018309	CHEMBL591363	chembl:CHEMBL591363	0.12	
GLRA1	2741	2741	GuideToPharmacology	allosteric modulator	178100984	CU2+				
PIK3CG	PIK3CG	5294	MyCancerGenome	inhibitor	SF1126	SF1126				
AR	AR	367	DTC		AMLEXANOX	AMLEXANOX	AMLEXANOX	chembl:CHEMBL1096	0.01	
HLA-B	HLA-B	3106	FDA		Pazopanib	Pazopanib	PAZOPANIB	chembl:CHEMBL477772	0.19	
AR	AR	367	DTC		ESTRAMUSTINE PHOSPHATE SODIUM	ESTRAMUSTINE PHOSPHATE SODIUM	ESTRAMUSTINE PHOSPHATE SODIUM	chembl:CHEMBL1200721	0.04	
JAK2	3717	3717	GuideToPharmacology	inhibitor	328083494	HG-10-102-01				
FOS	FOS	2353	NCI		ANTI-INFLAMMATORY DRUGS	ANTI-INFLAMMATORY DRUGS				11164833
SMAD3	SMAD3	4088	DTC		STROPHANTHIDIN ACETATE	STROPHANTHIDIN ACETATE	STROPHANTHIDIN ACETATE	chembl:CHEMBL1981679	0.14	
GNA11	GNA11	2767	JAX-CKB		AEB071	AEB071	SOTRASTAURIN	chembl:CHEMBL565612	0.42	24141786,27507190
CYP3A5	CYP3A5	1577	PharmGKB		ziprasidone	ziprasidone	ZIPRASIDONE	chembl:CHEMBL708	0.06	18695978
HTR2A	5-HT 2A receptor	3356	TTD		FKW00GA	FKW00GA				
HSPB1	HSPB1	3315	DTC		BENZENETHIOL	BENZENETHIOL	BENZENETHIOL	chembl:CHEMBL119405	1.03	
APOBEC3F	APOBEC3F	200316	DTC		GNF-PF-4337	GNF-PF-4337	CHEMBL277148	chembl:CHEMBL277148	0.44	
APC	APC	324	JAX-CKB		Leucovorin	Leucovorin	LEUCOVORIN	chembl:CHEMBL1679	0.24	27626067
ADRB2	Adrenergic receptor beta-2	154	TTD		GSK642444	GSK642444				
KDM4E	KDM4E	390245	DTC		AG-34	AG-34	CHEMBL80155	chembl:CHEMBL80155	0.02	
NR2C2	7182	7182	GuideToPharmacology	agonist	135651435	TRETINOIN	TRETINOIN	chembl:CHEMBL38	0.96	
GABRA5	P31644	2558	TdgClinicalTrial		FLUMAZENIL	FLUMAZENIL	FLUMAZENIL	chembl:CHEMBL407	0.25	
NTRK2	4915	4915	GuideToPharmacology	inhibitor	249565817	COMPOUND 8E [PMID: 24432909]				
TMPRSS15	TMPRSS15	5651	DTC		CALMIDAZOLIUM CHLORIDE	CALMIDAZOLIUM CHLORIDE	CALMIDAZOLIUM CHLORIDE	chembl:CHEMBL1208858	0.64	
PIK3R3	PIK3R3	8503	ChemblInteractions	inhibitor	CHEMBL586701	ZSTK-474	ZSTK-474	chembl:CHEMBL586701	0.25	
PDK1	Pyruvate dehydrogenase kinase 1	5163	TTD		Thiazole carboxamide derivative 18	Thiazole carboxamide derivative 18				
ALDH1A1	ALDH1A1	216	DTC		2-PHENYLPHENOL	2-PHENYLPHENOL	2-PHENYLPHENOL	chembl:CHEMBL108829	0.03	
PTEN	PTEN	5728	JAX-CKB		unspecified PD-1 antibody	unspecified PD-1 antibody				26645196
MAOB	Monoamine oxidase type B	4129	TTD		RWJ-416457	RWJ-416457	CHEMBL221877	chembl:CHEMBL221877	1.35	
CP	CP	1356	NCI		TUMOR NECROSIS FACTOR	TUMOR NECROSIS FACTOR				2439635
MARK2	MARK2	2011	DTC		LINIFANIB	LINIFANIB	LINIFANIB	chembl:CHEMBL223360	0.05	
FAAH	FAAH	2166	PharmGKB		opioids	opioids				
BCHE	Cholinesterase	590	TTD		Tetra-hydro-isoquinoline derivative 1	Tetra-hydro-isoquinoline derivative 1				
GABRA4	GABRA4	2557	ChemblInteractions	positive modulator	CHEMBL451	CHLORDIAZEPOXIDE	CHLORDIAZEPOXIDE	chembl:CHEMBL451	0.12	
POLB	POLB	5423	DTC		4-CHLOROMERCURIBENZOIC ACID	4-CHLOROMERCURIBENZOIC ACID	4-CHLOROMERCURIBENZOIC ACID	chembl:CHEMBL575867	0.01	
AKT2	208	208	GuideToPharmacology	inhibitor	249565578	IPATASERTIB	IPATASERTIB	chembl:CHEMBL2177390	1.73	
HRH4	59340	59340	GuideToPharmacology	agonist	135651493	HISTAMINE	HISTAMINE	chembl:CHEMBL90	1.5	
KCNJ1	P48048	3758	TdgClinicalTrial		GLIMEPIRIDE	GLIMEPIRIDE	GLIMEPIRIDE	chembl:CHEMBL1481	3.41	
ASNS	ASNS	440	PharmGKB		asparaginase	asparaginase	ASPARAGINASE	chembl:CHEMBL2108989	25.46	24268318
APAF1	APAF1	317	DTC		GNF-PF-1702	GNF-PF-1702	CHEMBL600313	chembl:CHEMBL600313	0.17	
JAK2	3717	3717	GuideToPharmacology	inhibitor	348353655	OCLACITINIB	OCLACITINIB	chembl:CHEMBL2103874	0.22	
KCNH2	3757	3757	GuideToPharmacology	blocker	178103742	DISOPYRAMIDE	DISOPYRAMIDE	chembl:CHEMBL517	0.31	
PSMB2	5690	5690	GuideToPharmacology	inhibitor	385612170	KZR-616	KZR-616	chembl:CHEMBL4297468	1.99	
SSTR2	6752	6752	GuideToPharmacology	agonist	135652249	L-363,377				
MAPK10	MAPK10	5602	DTC		AG-1879	AG-1879	CHEMBL406845	chembl:CHEMBL406845	0.08	
